index,ID,Date,User,Text,Language,Category,MentionedUser,Hashtag,Translation,Subjectivity,Polarity,Analysis
8561,1525922390747774976,2022-05-15 19:33:42+00:00,https://twitter.com/bwiza_rw,@user umaze kuza babikemuye,tr,reg,"[User(username='reg_rwanda', id=478609910, displayname='Rwanda Energy Group', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,@user already solved it,0.0,0.0,Neutral
19211,1510918645567959045,2022-04-04 09:54:11+00:00,https://twitter.com/harerimana_tito,@user ,qme,rwandair,"[User(username='FlyRwandAir', id=112440529, displayname='RwandAir', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]","['FlyTheDreamOfAfrica', 'FlySafeWithUs']",@user,0.0,0.0,Neutral
4,1634176629067898883,2023-03-10 12:57:24+00:00,https://twitter.com/alinetwe_109,@user @user @user gaz methane ,ht,mininifra,"[User(username='RwandaInfra', id=515653771, displayname='Ministry of Infrastructure | Rwanda', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='JanvierPopote', id=248589453, displayname='Janvier POPOTE', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='Gasabo_District', id=2166715987, displayname='Gasabo District', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,@user @user @user gaz methane,0.0,0.0,Neutral
18114,1551966554958487558,2022-07-26 16:23:55+00:00,https://twitter.com/nigeriansmiles,@user hello kidnappers @user release omotunde akiode,en,rwandair,"[User(username='FlyRwandAir', id=112440529, displayname='RwandAir', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='FlyRwandAir', id=112440529, displayname='RwandAir', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,@user hello kidnappers @user release omotunde akiode,0.0,0.0,Neutral
3403,1607722336387584001,2022-12-27 12:57:29+00:00,https://twitter.com/alinetwe_109,@user ku muhanda,in,reg,"[User(username='reg_rwanda', id=478609910, displayname='Rwanda Energy Group', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,@user on the road,0.0,0.0,Neutral
16048,1560637450447470593,2022-08-19 14:38:58+00:00,https://twitter.com/RwandaCAA,the ddg said there is a need to improve and implement an eco design that meets all requirements for green airports ,en,rcaa,,,the ddg said there is a need to improve and implement an eco design that meets all requirements for green airports,0.3,-0.2,Negative
9583,1512122961209270274,2022-04-07 17:39:42+00:00,https://twitter.com/JohnKeryMudenge,@user @user umuriro turawubonye murakoze ,und,reg,"[User(username='reg_rwanda', id=478609910, displayname='Rwanda Energy Group', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='RubavuDistrict', id=429795251, displayname='Rubavu District', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,@user @user fire we got it thanks,0.2,0.2,Positive
506,1593603358073528324,2022-11-18 13:53:42+00:00,https://twitter.com/JoelKaremera,@user in i want my prize please smiling face with sunglasses ,en,rac,"[User(username='RwandaAirports', id=984349801994178560, displayname='Rwanda Airports (RAC)', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,@user in i want my prize please smiling face with sunglasses,0.0,0.0,Neutral
1916,1628823958412746754,2023-02-23 18:27:48+00:00,https://twitter.com/vancelico,@user j habite kn opposite lyc e notre dame de citeaux,fr,reg,"[User(username='reg_rwanda', id=478609910, displayname='Rwanda Energy Group', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,@user j lives kn opposite lyc e notre dame de citeaux,0.0,0.0,Neutral
5853,1572290536819814404,2022-09-20 18:24:10+00:00,https://twitter.com/UweEmma,@user muraho ikinazo cy umuriro kiriweho umunsi wose muri gatenga uyu mugoroba ho wagiye burundu mudufashe mudufashe rwose,in,reg,"[User(username='reg_rwanda', id=478609910, displayname='Rwanda Energy Group', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,@user hi the fire has been going on all day in gatenga this evening you are gone for good help us really help us,0.4,0.44999999999999996,Positive
